iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,buffer_size,total_loss,value_loss,policy_loss,elapsed_time_s
137,2026-01-03 12:55:00,1,2,17,0.05,0.1,0.85,84.05,75000,0.484866738319397,0.05001748707145452,0.4723623603582382,1291.347898721695
138,2026-01-03 13:16:32,0,2,18,0.0,0.1,0.9,87.55,75000,0.5241245329380035,0.05192647166550159,0.5111429154872894,1291.0951578617096
139,2026-01-03 13:37:33,0,2,18,0.0,0.1,0.9,84.75,75000,0.5196466714143753,0.05305275209248066,0.5063834846019745,1261.7729318141937
140,2026-01-03 13:59:06,0,3,17,0.0,0.15,0.85,84.3,75000,0.5341919332742691,0.06725594252347947,0.5173779517412186,1292.8890926837921
141,2026-01-03 14:22:35,0,0,20,0.0,0.0,1.0,92.3,75000,0.5223831295967102,0.05101640522480011,0.5096290320158005,1402.9550182819366
142,2026-01-03 14:44:59,2,0,18,0.1,0.0,0.9,87.05,75000,0.5274918258190155,0.059210503846406935,0.5126892030239105,1344.392023563385
143,2026-01-03 15:15:35,1,2,17,0.05,0.1,0.85,81.95,75000,0.5177813708782196,0.05763041339814663,0.5033737689256668,1317.3163673877716
144,2026-01-03 16:26:56,2,1,17,0.1,0.05,0.85,85.4,75000,0.5249456733465194,0.05284066610038281,0.5117355018854142,1093.4352152347565
145,2026-01-03 16:44:19,0,0,20,0.0,0.0,1.0,89.0,75000,0.5177680224180221,0.054489115998148915,0.5041457414627075,1043.2994184494019
146,2026-01-03 17:36:31,1,1,18,0.05,0.05,0.9,82.4,75000,0.5366405367851257,0.04728471301496029,0.5248193562030792,921.17289686203
147,2026-01-03 17:50:49,2,3,15,0.1,0.15,0.75,76.55,75000,0.5546514987945557,0.04912605993449688,0.5423699796199799,857.0750966072083
148,2026-01-03 18:04:25,3,4,13,0.15,0.2,0.65,70.55,75000,0.5915615499019623,0.057436829805374144,0.5772023409605026,816.1709878444672
149,2026-01-03 18:19:32,2,2,16,0.1,0.1,0.8,79.7,75000,0.5895551651716232,0.05592699870467186,0.5755734205245971,907.7394125461578
150,2026-01-03 18:38:46,5,4,11,0.25,0.2,0.55,69.2,75000,0.5779532223939896,0.053026285395026206,0.5646966457366943,1153.1184899806976
151,2026-01-03 18:54:00,3,4,13,0.15,0.2,0.65,73.7,75000,0.5522862493991851,0.05735412761569023,0.5379477232694626,907.0212423801422
152,2026-01-03 19:10:14,3,4,13,0.15,0.2,0.65,72.3,75000,0.5765391528606415,0.0564834289252758,0.5624182999134064,973.5995852947235
153,2026-01-03 19:24:43,5,2,13,0.25,0.1,0.65,73.0,75000,0.6048319339752197,0.06158094219863415,0.5894366979599,869.1548902988434
154,2026-01-03 19:40:23,4,1,15,0.2,0.05,0.75,76.95,75000,0.6243619441986084,0.05954881459474563,0.6094747424125672,939.6183075904846
155,2026-01-03 19:56:58,0,3,17,0.0,0.15,0.85,82.15,75000,0.6306049704551697,0.06183234751224518,0.6151468932628632,995.4379642009735
156,2026-01-03 20:23:11,5,2,13,0.25,0.1,0.65,74.25,21485,0.8811872124671936,0.09345749020576477,0.857822847366333,984.7778453826904
157,2026-01-03 20:36:20,3,4,13,0.15,0.2,0.65,71.3,22911,0.9128531873226166,0.10076643750071526,0.8876615762710571,788.7394027709961
158,2026-01-03 20:49:23,4,4,12,0.2,0.2,0.6,71.25,24336,0.9075172007083893,0.10438108593225479,0.8814219236373901,782.7537047863007
159,2026-01-03 21:06:42,2,2,16,0.1,0.1,0.8,80.85,25953,0.896658331155777,0.09114728420972824,0.8738714993000031,1038.8098556995392
160,2026-01-03 21:19:31,3,4,13,0.15,0.2,0.65,73.7,27427,0.8826300978660584,0.0975360929965973,0.8582460761070252,768.8619720935822
161,2026-01-03 21:36:20,0,3,17,0.0,0.15,0.85,82.95,29086,0.8491811096668244,0.08889197856187821,0.8269581079483033,1007.3151607513428
162,2026-01-03 21:50:55,3,4,13,0.15,0.2,0.65,70.0,30486,0.8818751513957978,0.09514725655317306,0.8580883324146271,874.3266191482544
163,2026-01-03 22:05:29,2,1,17,0.1,0.05,0.85,80.9,32104,0.8776839196681976,0.09878546297550202,0.8529875576496124,874.5342013835907
164,2026-01-03 22:21:43,4,4,12,0.2,0.2,0.6,69.05,33485,0.8737499058246613,0.10218898057937623,0.8482026517391205,973.6236701011658
165,2026-01-03 22:34:21,3,4,13,0.15,0.2,0.65,72.75,34940,0.8656489014625549,0.11411068812012673,0.8371212363243103,757.8485128879547
166,2026-01-03 22:51:50,1,1,18,0.05,0.05,0.9,86.3,36666,0.8595377385616303,0.09387957900762559,0.8360678553581238,1046.6938648223877
167,2026-01-03 23:05:14,6,2,12,0.3,0.1,0.6,69.2,38050,0.8462306261062622,0.097391789406538,0.821882677078247,804.3315722942352
168,2026-01-03 23:19:46,5,2,13,0.25,0.1,0.65,70.4,39458,0.8562576830387115,0.09450234472751617,0.8326320946216583,872.0513451099396
169,2026-01-03 23:34:54,2,4,14,0.1,0.2,0.7,76.5,40988,0.8891852617263794,0.10352529510855675,0.8633039355278015,907.9890565872192
