Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
1070,Blk (P2),Random,WIN ,1.0250,38,32.4,50.0,90.9,0.00000,0.3251,2.00e-06,0.00,0.00
1080,Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0520,94,33.3,50.0,87.5,0.00000,0.3244,2.00e-06,0.00,0.00
1090,Red (P1),Self-Play,WIN ,1.0090,55,37.5,52.0,88.9,0.00000,0.3237,2.00e-06,0.00,0.00
1100,Red (P1),Random,LOSS,-0.0090,44,36.4,50.0,86.2,0.00000,0.3230,2.00e-06,0.00,0.00
1110,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.0330,40,35.4,51.6,87.9,0.00000,0.3223,2.00e-06,0.00,0.00
1120,Red (P1),Pool: gen9_champion.pth,LOSS,-0.0260,40,34.5,50.8,88.9,0.00000,0.3216,2.00e-06,0.00,0.00
1130,Red (P1),Random,LOSS,-0.0200,48,35.6,52.1,84.6,0.00000,0.3209,2.00e-06,0.00,0.00
1140,Red (P1),Random,WIN ,0.9960,76,39.1,51.3,86.0,0.00624,0.3202,2.00e-06,0.00,0.00
1150,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.1830,246,42.9,48.8,86.7,0.00475,0.3195,2.00e-06,4.83,1.76
1160,Red (P1),Self-Play,LOSS,-0.1100,166,44.6,46.5,87.5,0.00387,0.3188,2.00e-06,0.00,0.00
1170,Red (P1),Pool: gen8_titan.pth,LOSS,-0.0540,96,41.8,47.3,88.0,0.00368,0.3181,2.00e-06,0.00,0.00
1180,Blk (P2),Pool: gen9_titan.pth,WIN ,1.0090,41,41.0,46.4,85.2,0.00357,0.3174,2.00e-06,0.00,0.00
1190,Blk (P2),Random,WIN ,0.9320,111,38.6,46.0,85.5,0.00360,0.3167,2.00e-06,0.00,0.00
1200,Red (P1),Random,LOSS,-0.0120,41,37.6,44.0,83.3,0.00330,0.3160,2.00e-06,5.06,1.82
1210,Red (P1),Random,WIN ,0.9740,83,38.8,46.0,84.1,0.00324,0.3153,2.00e-06,0.00,0.00
1220,Red (P1),Random,WIN ,0.9310,133,37.0,48.0,83.8,0.00322,0.3146,2.00e-06,0.00,0.00
1230,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.0190,41,38.0,46.0,83.3,0.00346,0.3139,2.00e-06,0.00,0.00
1240,Blk (P2),Random,WIN ,1.0210,42,37.0,48.0,84.2,0.00328,0.3132,2.00e-06,0.00,0.00
1250,Red (P1),Self-Play,LOSS,-0.0280,42,37.0,47.0,81.2,0.00328,0.3125,2.00e-06,5.28,1.88
1260,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.0210,56,37.0,47.0,80.7,0.00333,0.3118,2.00e-06,0.00,0.00
1270,Red (P1),Self-Play,WIN ,1.0060,51,36.0,48.0,81.2,0.00368,0.3111,2.00e-06,0.00,0.00
1280,Red (P1),Pool: gen8_titan.pth,WIN ,1.0110,68,36.0,46.0,81.4,0.00367,0.3104,2.00e-06,0.00,0.00
1290,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.1290,192,34.0,44.0,80.9,0.00443,0.3097,2.00e-06,0.00,0.00
1300,Blk (P2),Self-Play,LOSS,-0.0230,58,35.0,46.0,81.5,0.00387,0.3090,2.00e-06,5.58,1.94
1310,Red (P1),Pool: gen8_titan.pth,WIN ,0.8340,223,35.0,42.0,81.5,0.00339,0.3083,2.00e-06,0.00,0.00
1320,Blk (P2),Self-Play,LOSS,-0.0290,50,36.0,42.0,82.3,0.00357,0.3076,2.00e-06,0.00,0.00
1330,Blk (P2),Pool: gen9_titan.pth,WIN ,0.9820,75,35.0,43.0,81.6,0.00333,0.3069,2.00e-06,0.00,0.00
1340,Blk (P2),Self-Play,WIN ,0.8990,165,36.0,45.0,81.0,0.00402,0.3062,2.00e-06,0.00,0.00
1350,Blk (P2),Self-Play,LOSS,-0.0120,40,36.0,43.0,79.0,0.00334,0.3055,2.00e-06,5.96,2.00
1010,Blk (P2),Self-Play,WIN ,1.0270,37,25.0,66.7,50.0,0.00000,0.3293,2.00e-06,0.00,0.00
1020,Blk (P2),Random,WIN ,0.8980,173,50.0,64.3,87.5,0.00000,0.3286,2.00e-06,0.00,0.00
1030,Blk (P2),Self-Play,LOSS,-0.1930,242,54.5,52.6,90.0,0.00000,0.3279,2.00e-06,0.00,0.00
1040,Blk (P2),Pool: gen9_titan.pth,WIN ,1.0140,43,52.9,52.2,86.7,0.00000,0.3272,2.00e-06,0.00,0.00
1050,Red (P1),Self-Play,LOSS,-0.0250,74,47.6,48.3,88.9,0.00000,0.3265,2.00e-06,0.00,0.00
1060,Blk (P2),Self-Play,LOSS,-0.0210,42,50.0,50.0,90.0,0.00000,0.3258,2.00e-06,0.00,0.00
1070,Red (P1),Random,WIN ,1.0300,41,46.7,47.5,90.5,0.00000,0.3251,2.00e-06,0.00,0.00
1080,Blk (P2),Self-Play,LOSS,-0.2150,250,48.6,46.7,92.3,0.00000,0.3244,2.00e-06,0.00,0.00
1090,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.0470,54,48.6,45.3,92.9,0.00000,0.3237,2.00e-06,0.00,0.00
1100,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.0790,128,44.2,49.1,90.3,0.00000,0.3230,2.00e-06,0.00,0.00
1110,Red (P1),Self-Play,WIN ,1.0140,57,42.0,48.3,87.9,0.01077,0.3223,2.00e-06,0.00,0.00
1120,Red (P1),Self-Play,WIN ,1.0190,45,41.8,49.2,88.9,0.00579,0.3216,2.00e-06,0.00,0.00
1130,Red (P1),Pool: gen9_champion.pth,LOSS,-0.0660,108,43.1,48.6,89.5,0.00413,0.3209,2.00e-06,0.00,0.00
1140,Blk (P2),Random,WIN ,1.0190,44,45.3,48.7,86.0,0.00377,0.3202,2.00e-06,0.00,0.00
1150,Red (P1),Random,LOSS,-0.0450,94,45.1,48.1,85.1,0.00335,0.3195,2.00e-06,4.83,1.71
1160,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.0260,54,45.9,47.7,86.3,0.00359,0.3188,2.00e-06,0.00,0.00
1170,Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0160,58,46.2,48.9,87.5,0.00332,0.3181,2.00e-06,0.00,0.00
1180,Red (P1),Random,WIN ,0.9200,151,45.2,49.0,87.9,0.00351,0.3174,2.00e-06,0.00,0.00
1190,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.2320,288,45.6,48.0,87.1,0.00345,0.3167,2.00e-06,0.00,0.00
1200,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.1080,136,43.8,47.0,84.8,0.00335,0.3160,2.00e-06,5.17,1.76
1210,Blk (P2),Pool: gen9_titan.pth,WIN ,0.9920,65,43.0,48.0,85.7,0.00312,0.3153,2.00e-06,0.00,0.00
1220,Red (P1),Pool: gen9_titan.pth,LOSS,-0.1910,225,42.0,46.0,85.9,0.00326,0.3146,2.00e-06,0.00,0.00
1230,Red (P1),Self-Play,LOSS,-0.0280,56,41.0,45.0,85.1,0.00338,0.3139,2.00e-06,0.00,0.00
1240,Blk (P2),Random,LOSS,-0.0070,42,39.0,45.0,82.3,0.00309,0.3132,2.00e-06,0.00,0.00
1250,Blk (P2),Pool: gen9_champion.pth,LOSS,-0.0200,48,39.0,45.0,81.7,0.00344,0.3125,2.00e-06,5.50,1.81
1260,Red (P1),Random,WIN ,0.9780,93,39.0,43.0,82.1,0.00323,0.3118,2.00e-06,0.00,0.00
1270,Blk (P2),Random,WIN ,1.0160,41,38.0,45.0,82.8,0.00312,0.3111,2.00e-06,0.00,0.00
1280,Red (P1),Pool: gen9_champion.pth,LOSS,-0.0230,58,37.0,45.0,83.3,0.00341,0.3104,2.00e-06,0.00,0.00
1290,Blk (P2),Pool: gen9_titan.pth,WIN ,1.0140,43,37.0,46.0,83.5,0.00325,0.3097,2.00e-06,0.00,0.00
1300,Blk (P2),Random,LOSS,-0.1010,178,39.0,48.0,83.0,0.00347,0.3090,2.00e-06,5.82,1.86
1310,Red (P1),Random,WIN ,1.0220,35,39.0,49.0,83.7,0.00362,0.3083,2.00e-06,0.00,0.00
1320,Blk (P2),Pool: gen9_champion.pth,WIN ,0.9990,51,38.0,47.0,84.0,0.00339,0.3076,2.00e-06,0.00,0.00
1330,Blk (P2),Self-Play,LOSS,-0.0330,68,36.0,45.0,84.0,0.00358,0.3069,2.00e-06,0.00,0.00
1340,Blk (P2),Random,WIN ,1.0250,39,35.0,45.0,84.0,0.00371,0.3062,2.00e-06,0.00,0.00
1350,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.1030,152,34.0,42.0,83.0,0.00352,0.3055,2.00e-06,6.21,1.92
